Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1989","1989","1000 USD","522666","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1990","1990","t","1906","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1990","1990","1000 USD","7050","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1990","1990","t","67863","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1990","1990","1000 USD","252343","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1991","1991","t","1076","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1991","1991","1000 USD","4018","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1991","1991","t","135081","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1991","1991","1000 USD","460891","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1992","1992","t","1670","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1992","1992","1000 USD","5821","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1992","1992","t","159237","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1992","1992","1000 USD","556483","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1993","1993","t","2147","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1993","1993","1000 USD","8425","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1993","1993","t","111348","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1993","1993","1000 USD","406048","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1994","1994","t","2171","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1994","1994","1000 USD","8852","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1994","1994","t","111160","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1994","1994","1000 USD","395590","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1995","1995","t","2097","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1995","1995","1000 USD","9023","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1995","1995","t","138220","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1995","1995","1000 USD","583281","A","Official figure",""
